variant,n_features,best_C,severe_precision_raw,severe_recall_raw,severe_f1_raw,macro_f1_raw,weighted_f1_raw,balanced_accuracy_raw,roc_auc_raw,pr_auc_raw,severe_precision_cal,severe_recall_cal,severe_f1_cal,macro_f1_cal,weighted_f1_cal,balanced_accuracy_cal,roc_auc_cal,pr_auc_cal
full,10,0.01,0.21033860243934657,0.8203675081573072,0.33482862549940423,0.36581893996638043,0.3847788143572765,0.5392940655316875,0.5689920068358414,0.23275430361677527,0.0,0.0,0.0,0.44622881825229815,0.7192316092590542,0.4999379575629731,0.5694239243408018,0.22779963436209497
minus_visibility,8,0.1,0.20964545254349262,0.817448050832904,0.33370723499719573,0.3648709027044952,0.383936834607821,0.5376068479337205,0.5694777377820882,0.23326947391787833,0.0,0.0,0.0,0.4462390401476696,0.7192480849100139,0.4999586383753154,0.5706835431471534,0.22965724548728494
minus_precip,9,0.01,0.2101162176439514,0.8196805770221536,0.3344896457479239,0.36539491346230946,0.38430275624997046,0.5387644726530298,0.5688554239747305,0.23236444031684966,0.0,0.0,0.0,0.44625948280635697,0.7192810343872861,0.5,0.568100299077292,0.2253861079784283
minus_time,7,0.01,0.2045275590551181,0.892151811780869,0.332767511129616,0.30441065204463563,0.2870619256564446,0.5282200925140851,0.5490770984164663,0.2150157114026362,0.0,0.0,0.0,0.4462390401476696,0.7192480849100139,0.4999586383753154,0.5520609173553753,0.213152035261657
minus_daynight,9,0.01,0.2093298291721419,0.8207109737248841,0.3335776358496493,0.36221421748459115,0.3797340781288486,0.5370461432714257,0.5680263375596845,0.23303298116382998,0.0,0.0,0.0,0.44622881825229815,0.7192316092590542,0.4999379575629731,0.5689289983708294,0.2280409517279183
