model,severe_precision,severe_recall,severe_f1,macro_f1,weighted_f1,balanced_accuracy,roc_auc,pr_auc,mode,threshold
FFNN Ablation1 (unweighted),0.23649520390419027,0.7240254164520007,0.35653276955602536,0.4689403875290443,0.5377113682049373,0.5805261714348352,0.6134839031431646,0.25714521789289335,unweighted,0.2
FFNN Ablation1 (balanced),0.23352310611889007,0.7818993645887,0.35963665086887836,0.44605246614954874,0.49892166193826293,0.5818956226508872,0.613265580818537,0.25733746989809003,balanced,0.49999999999999994
FFNN Ablation1 (inverse_freq),0.23559659985308007,0.7710801992100292,0.36091796953498656,0.45407155915742464,0.5110629252884322,0.5842620254022599,0.616806783698542,0.26018423438142646,inverse_freq,0.49999999999999994
