model,severe_precision,severe_recall,severe_f1,macro_f1,weighted_f1,balanced_accuracy,roc_auc,pr_auc,depth,threshold
FFNN Ablation2 (shallow),0.2324139299533684,0.8045680920487721,0.36064816596743776,0.43618110406017613,0.48239215558531345,0.5822898366518419,0.6158506397424439,0.2587471432470363,shallow,0.2
FFNN Ablation2 (deep),0.22518732746154857,0.8825347758887172,0.3588186007540846,0.3865466903502532,0.4035107355651891,0.5755892641076543,0.6181424203835428,0.26046156680246624,deep,0.15
