model,severe_precision,severe_recall,severe_f1,macro_f1,weighted_f1,balanced_accuracy,roc_auc,pr_auc
LogReg,0.2102034511673066,0.8179632491842693,0.33445684994031316,0.36651137439588155,0.3861223324577983,0.5388778069141763,0.5689231560324637,0.23284627610713826
LogReg (Calibrated),0.0,0.0,0.0,0.4462390401476696,0.7192480849100139,0.4999586383753154,0.5687610196002034,0.22799896389737773
FFNN,0.23214285714285715,0.7724540614803366,0.3569982935830787,0.4457041121660975,0.4999743319751885,0.5785379047112978,0.6103815575426892,0.2546837420156869
FFNN (Calibrated),0.2727272727272727,0.0005151983513652757,0.0010284538909838875,0.44671664174444337,0.7193886750731898,0.5000921526769442,0.6120813228497419,0.25531720968062044
